,hotel,item,price
0,Menu for Shaver Lake Pizza,Bread Sticks,(6) - $3.50
1,Menu for Shaver Lake Pizza,Cheesy Bread Sticks,(6) - $4.75
2,Menu for Shaver Lake Pizza,Pesto Cheesy Bread Sticks,(6) - $4.75
3,Menu for Shaver Lake Pizza,Hot Wings,"Small (6) - $6.25 , Large (12) - $12.25 , X-large (24) - $23.49"
4,Menu for Shaver Lake Pizza,Cheesy Garlic Bread,$4.50
5,Menu for Shaver Lake Pizza,Garlic Bread,$3.50
6,Menu for Shaver Lake Pizza,Potato Skins,"W/ Jalapeno (12) - $11.99 , W/ Jalapeno (6) - $6.75 , (6) - $6.25 , (12) - $11.49"
7,Menu for Shaver Lake Pizza,Bbq Chicken Potato Skins,"(12) - $12.25 , (6) - $7.25"
8,Menu for Shaver Lake Pizza,Garlic Knots,(5) - $3.99
9,Menu for Shaver Lake Pizza,BBQ Wings,"(6 wings) - $6.25 , (12 wings) - $12.25 , (24 wings) - $23.49"
10,Menu for Shaver Lake Pizza,Chicken Wings (plain),"(6 wings) - $6.25 , (12 wings) - $12.25 , (24 wings) - $23.49"
11,Menu for Shaver Lake Pizza,Jalapeño Poppers,"6 - $5.99 , 12 - $10.99"
12,Menu for Shaver Lake Pizza,Garden Salad,$3.50
13,Menu for Shaver Lake Pizza,Antipasto Salad,$6.25
14,Menu for Shaver Lake Pizza,Greek Salad,$5.99
15,Menu for Shaver Lake Pizza,Meatball Marinara,$6.99
16,Menu for Shaver Lake Pizza,Philly Cheese Steak,$7.99
17,Menu for Shaver Lake Pizza,Barbecue Chicken,$6.99
18,Menu for Shaver Lake Pizza,Italian Sub,$6.99
19,Menu for Shaver Lake Pizza,Pesto Veggie,$5.99
20,Menu for Shaver Lake Pizza,Buffalo Chicken Sandwich,$6.99
21,Menu for Shaver Lake Pizza,Pizza Bread,"1 Topping - $5.00 , 2 Topping - $5.50"
22,Menu for Shaver Lake Pizza,Combo,$9.45
23,Menu for Shaver Lake Pizza,Veggie,$9.45
24,Menu for Shaver Lake Pizza,All Meat,$9.45
25,Menu for Shaver Lake Pizza,Create Your Own,$7.35
26,Menu for Shaver Lake Pizza,Cheese,"Giant - 18"" - $25.19 , X-large - 16"" - $19.85 , Large - 14"" - $17.65 , Medium - 12"" - $13.25 , Small - 10"" - $9.99 , Mini - 7"" - $5.99"
27,Menu for Shaver Lake Pizza,1 Topping,"Giant - 18"" - $26.45 , X-large - 16"" - $20.95 , Large - 14"" - $18.75 , Medium - 12"" - $14.35 , Small - 10"" - $11.09 , Mini - 7"" - $6.56"
28,Menu for Shaver Lake Pizza,2 Topping,"Giant - 18"" - $27.71 , X-large - 16"" - $22.05 , Large - 14"" - $19.85 , Medium - 12"" - $15.45 , Small - 10"" - $12.18 , Mini - 7"" - $7.13"
29,Menu for Shaver Lake Pizza,3 Topping,"Giant - 18"" - $28.97 , X-large - 16"" - $23.15 , Large - 14"" - $20.95 , Medium - 12"" - $16.55 , Small - 10"" - $13.27 , Mini - 7"" - $7.70"
30,Menu for Shaver Lake Pizza,4 Topping,"Giant - 18"" - $30.23 , X-large - 16"" - $24.25 , Large - 14"" - $22.05 , Medium - 12"" - $17.65 , Small - 10"" - $14.36 , Mini - 7"" - $8.27"
31,Menu for Shaver Lake Pizza,Additional Toppings,"Giant - 18"" - $2.50 , X-Large - 16"" - $2.00 , Large - 14"" - $1.75 , Medium - 12"" - $1.50 , Small - 10"" - $1.00 , Mini - 8"" - $0.50"
32,Menu for Shaver Lake Pizza,Specialties,"Giant - 18"" - $35.65 , X-large - 16"" - $26.99 , Large - 14"" - $24.75 , Medium - 12"" - $19.85 , Small - 10"" - $15.45 , Mini - 7"" - $9.99"
33,Menu for Shaver Lake Pizza,Shaver Combo,[]
34,Menu for Shaver Lake Pizza,All Meat,[]
35,Menu for Shaver Lake Pizza,The Lakeshore*,[]
36,Menu for Shaver Lake Pizza,Pesto Chicken*,[]
37,Menu for Shaver Lake Pizza,Artichoke Delight*,[]
38,Menu for Shaver Lake Pizza,Veggie,[]
39,Menu for Shaver Lake Pizza,Garlic Chicken,[]
40,Menu for Shaver Lake Pizza,Barbecue Chicken,[]
41,Menu for Shaver Lake Pizza,Calypso,[]
42,Menu for Shaver Lake Pizza,Greek*,[]
43,Menu for Shaver Lake Pizza,Buffalo Chicken Supreme*,[]
44,Menu for Shaver Lake Pizza,California*,[]
45,Menu for Shaver Lake Pizza,Oregon,[]
46,Menu for Shaver Lake Pizza,Hot Hawaiian,[]
47,Menu for Shaver Lake Pizza,Buffalo Chicken,[]
48,Menu for Shaver Lake Pizza,Mini 1 Topping & 21 Oz. Soft Drink,$6.65
49,Menu for Shaver Lake Pizza,Any Hot Sandwich & 21 Oz. Soft Drink,$7.15
50,Menu for Shaver Lake Pizza,Calzone (up To 4 Toppings) & 21 Oz. Soft Drink,$7.65
51,Menu for Shaver Lake Pizza,Specialty Calzone & 21 Oz. Soft Drink,$8.65
52,Menu for Shaver Lake Pizza,"Garden Salad, Bread Sticks & 21 Oz. Soft Drink",$5.60
53,Menu for Shaver Lake Pizza,Pizza Bread (up To 2 Toppings) & 21 Oz. Soft Drink,$6.15
54,Menu for Shaver Lake Pizza,Ranch Cup,$0.74
55,Menu for Shaver Lake Pizza,Jalapenos,$0.75
56,Menu for Shaver Lake Pizza,Misc. Sides,$0.75
57,Menu for Shaver Lake Pizza,Cream Cheese Icing,$0.75
58,Menu for Shaver Lake Pizza,Cinnamon Twists,$4.25
59,Menu for Shaver Lake Pizza,Churro Donuts,$2.99
60,Menu for Shaver Lake Pizza,Peppermint Brownie Sundae,$5.99
61,Menu for Shaver Lake Pizza,24 Oz. Fountain Drink,$2.25
62,Menu for Shaver Lake Pizza,12 Oz. Kids Up,$1.50
63,Menu for Shaver Lake Pizza,Apple Juice,$1.25
64,Menu for Shaver Lake Pizza,Chocolate Milk,$1.25
65,Menu for Shaver Lake Pizza,2 Liter Soda,$2.75
66,Menu for Shaver Lake Pizza,Bottled Water,$1.25
67,Menu for Shaver Lake Pizza,Gourmet Sodas,$1.89
68,Menu for Shaver Lake Pizza,Domestic Beers,"16 oz mug - $3.00 , 1/2 pitcher - $6.00 , full pitcher - $10.00"
69,Menu for Shaver Lake Pizza,Premium/Import Beers,"16 oz. mug - $4.50 , 1/2 pitcher - $9.00 , fulll pitcher - $15.00"
70,Menu for Shaver Lake Pizza,Merlot,Glass - $3.25
71,Menu for Shaver Lake Pizza,Cabernet,Glass - $3.25
72,Menu for Shaver Lake Pizza,Chardonnay,Glass - $3.25
73,Menu for Sugar Pine Pizza,Cheesy Garlic Breadsticks,"1/2 Order (5 Sticks) - $6.00 , Full Order (8 Sticks) - $11.00"
74,Menu for Sugar Pine Pizza,Chicken Wings (Bone-In),"1/2 Order (6) - $5.50 , Full Order (12) - $11.00"
75,Menu for Sugar Pine Pizza,Green Salad," - $8.00 , Half Salad - $4.00"
76,Menu for Sugar Pine Pizza,Chef Salad," - $10.00 , Half Salad - $5.00"
77,Menu for Sugar Pine Pizza,Taco Salad," - $11.00 , Half Salad - $6.00"
78,Menu for Sugar Pine Pizza,Everything Salad," - $12.00 , Half Salad - $8.00"
79,Menu for Sugar Pine Pizza,Wrap,$6.00
80,Menu for Sugar Pine Pizza,Meatball or Sausage Roll-Up,$6.00
81,Menu for Sugar Pine Pizza,Pizza Burger,$6.00
82,Menu for Sugar Pine Pizza,Chicken Parmesan Calzone,$9.95
83,Menu for Sugar Pine Pizza,Create your own One Item Calzone,$9.95
84,Menu for Sugar Pine Pizza,Cheese Burger Calzone,$12.95
85,Menu for Sugar Pine Pizza,Specialty Calzone,$12.95
86,Menu for Sugar Pine Pizza,Chicken BBQ,"9"" - $11.95 , 12"" - $14.95 , 14"" - $17.95 , 16"" - $19.95 , 18"" - $21.95"
87,Menu for Sugar Pine Pizza,Chicken Club,"9"" - $11.95 , 12"" - $14.95 , 14"" - $17.95 , 16"" - $19.95 , 18"" - $21.95"
88,Menu for Sugar Pine Pizza,"Chicken, Garlic & Artichokes","9"" - $11.95 , 12"" - $14.95 , 14"" - $17.95 , 16"" - $19.95 , 18"" - $21.95"
89,Menu for Sugar Pine Pizza,Chicken Hot Wings,"9"" - $11.95 , 12"" - $14.95 , 14"" - $17.95 , 16"" - $19.95 , 18"" - $21.95"
90,Menu for Sugar Pine Pizza,Chicken Teriyaki,"9"" - $11.95 , 12"" - $14.95 , 14"" - $17.95 , 16"" - $19.95 , 18"" - $21.95"
91,Menu for Sugar Pine Pizza,Chicken Thai,"9"" - $11.95 , 12"" - $14.95 , 14"" - $17.95 , 16"" - $19.95 , 18"" - $21.95"
92,Menu for Sugar Pine Pizza,Combo,"9"" - $11.95 , 12"" - $14.95 , 14"" - $17.95 , 16"" - $19.95 , 18"" - $21.95"
93,Menu for Sugar Pine Pizza,Crab Supreme,"9"" - $13.00 , 12"" - $17.00 , 14"" - $21.00 , 16"" - $25.00 , 18"" - $29.00"
94,Menu for Sugar Pine Pizza,Garlic Pesto Shrimp,"9"" - $11.95 , 12"" - $14.95 , 14"" - $17.95 , 16"" - $19.95 , 18"" - $21.95"
95,Menu for Sugar Pine Pizza,Greek,"9"" - $11.95 , 12"" - $14.95 , 14"" - $17.95 , 16"" - $19.95 , 18"" - $21.95"
96,Menu for Sugar Pine Pizza,Meat Master,"9"" - $11.95 , 12"" - $14.95 , 14"" - $17.95 , 16"" - $19.95 , 18"" - $21.95"
97,Menu for Sugar Pine Pizza,Pizza Margherita,"9"" - $11.95 , 12"" - $14.95 , 14"" - $17.95 , 16"" - $19.95 , 18 - $21.95"
